Age,Clicks,Day,Gender,Impressions,Signed_In
31,2,7,0,9,0
44,1,11,0,0,0
35,2,13,1,1,1
44,1,25,1,0,0
45,2,7,1,0,1
67,0,28,1,0,0
30,2,23,1,8,0
20,0,25,0,0,1
38,1,26,1,7,0
22,0,21,0,0,0
57,2,22,1,0,1
30,1,13,1,1,1
26,1,15,0,2,1
27,1,26,0,5,1
45,2,12,0,0,0
32,1,3,0,0,0
25,2,22,0,0,0
59,0,17,0,0,0
22,0,23,0,8,0
35,1,4,1,0,1
44,4,18,1,0,0
10,0,9,1,0,1
42,0,25,1,0,0
19,0,5,0,0,0
47,2,24,0,0,0
20,1,4,1,0,1
45,2,1,1,0,0
51,0,8,0,9,0
47,0,11,1,0,1
38,1,18,1,0,0
31,2,6,1,9,0
26,2,13,1,2,1
57,0,7,0,9,0
24,4,24,1,8,0
19,1,3,1,0,0
44,2,11,0,1,0
23,1,18,1,0,0
20,0,26,0,0,0
13,2,24,0,2,0
27,2,25,0,0,0
33,1,4,0,1,0
38,1,24,0,2,0
49,0,22,1,0,0
42,2,25,0,4,1
32,1,10,0,0,0
32,2,26,0,0,1
42,0,13,0,3,0
54,0,18,1,0,0
36,0,13,1,2,0
27,0,13,1,0,1
20,1,16,1,0,0
13,0,11,0,2,0
44,2,23,1,0,0
43,0,18,1,0,0
43,2,20,0,0,0
33,1,8,1,5,0
56,4,28,1,0,0
27,5,19,1,3,1
49,2,7,0,0,0
34,2,21,1,1,0
25,1,7,0,6,0
43,2,4,0,0,0
41,4,16,0,0,0
40,0,16,0,2,0
36,1,7,0,2,0
34,0,11,0,0,0
70,1,26,1,0,0
52,1,9,1,2,0
45,1,6,1,2,0
36,1,30,0,2,0
50,4,10,0,0,0
42,1,20,1,9,0
35,2,8,0,0,1
30,1,16,1,0,0
33,1,12,1,0,0
-12,1,28,0,0,1
38,0,13,1,0,0
27,1,17,1,0,1
58,2,26,0,0,1
35,1,30,0,1,1
17,2,5,0,0,1
34,1,24,0,0,0
19,1,12,0,0,0
42,2,17,0,0,1
39,0,12,0,0,0
49,0,12,1,0,1
23,0,6,0,8,0
35,0,17,0,4,0
14,0,16,0,4,1
45,0,7,0,0,0
42,0,16,0,0,1
42,2,28,0,0,0
35,0,21,0,2,1
41,1,15,1,0,1
59,3,26,1,0,0
30,2,17,0,0,0
37,1,6,0,0,0
18,3,16,1,9,1
21,1,7,1,2,1
36,0,22,0,2,0
51,5,28,1,0,0
31,2,11,0,3,1
31,1,13,0,1,1
28,2,13,1,7,0
26,2,9,1,0,0
39,0,23,1,0,1
12,0,18,0,1,0
54,1,4,0,0,1
25,3,24,0,4,0
45,0,7,0,9,1
15,2,29,1,0,0
45,0,12,1,0,1
45,1,18,1,0,0
40,2,4,1,3,0
20,2,11,0,1,0
38,0,23,1,0,1
17,1,14,1,0,0
31,1,25,0,0,0
50,0,17,1,2,0
46,0,26,0,0,0
35,2,29,1,0,0
20,1,14,0,2,0
44,0,17,0,0,0
35,1,24,1,0,1
0,3,8,1,0,1
46,0,24,0,0,1
34,2,17,0,0,0
53,0,21,0,9,1
18,0,4,0,2,0
-12,0,22,1,4,0
39,1,10,1,7,0
39,2,23,0,0,0
9,0,15,1,0,0
20,2,9,0,0,0
76,1,27,1,2,0
30,0,22,0,1,0
45,1,29,0,0,0
25,2,12,1,0,0
3,2,19,0,0,0
32,2,18,1,0,0
31,1,20,1,4,0
29,2,2,0,0,0
33,0,10,0,5,0
38,2,26,1,0,1
32,4,13,1,2,0
16,0,27,0,6,0
42,1,8,0,5,1
5,2,30,1,0,0
4,2,20,0,0,0
46,0,22,0,0,0
42,4,12,0,0,0
34,2,25,1,1,0
14,0,16,1,7,1
24,0,20,1,0,0
31,2,5,1,0,0
11,0,18,1,0,0
23,0,25,0,5,1
44,1,7,1,8,1
56,2,21,0,0,0
28,2,1,1,0,0
46,1,26,0,2,0
6,2,29,0,1,0
44,4,11,1,0,0
22,0,5,1,4,0
39,2,19,0,8,1
31,3,2,1,0,0
54,2,15,0,0,0
21,2,9,0,0,0
44,0,14,1,0,0
30,1,1,0,0,0
32,1,3,1,0,1
32,2,1,0,0,0
22,5,18,1,0,1
34,0,17,1,0,0
34,0,8,0,0,0
38,0,19,0,0,0
36,2,25,1,0,1
46,0,9,1,0,0
48,2,24,0,0,0
19,1,19,0,2,0
48,1,2,0,0,1
17,0,12,0,9,0
43,2,15,0,0,0
44,1,21,0,1,0
6,4,10,1,0,0
36,1,29,1,1,0
27,0,20,1,3,0
23,0,12,1,7,1
55,4,5,1,9,0
25,2,7,0,0,1
22,0,15,1,0,1
36,2,15,1,0,0
45,1,22,1,0,0
32,1,21,0,0,1
52,0,7,1,3,0
42,2,17,1,5,0
2,0,1,1,0,1
27,0,12,0,0,0
26,1,22,1,0,1
42,0,12,1,1,0
-4,1,24,0,0,0
73,0,29,1,5,0
42,1,18,0,1,1
37,3,6,1,1,0
52,1,12,1,0,0
70,1,0,0,0,1
48,1,18,0,6,1
49,1,23,1,0,1
36,2,18,0,9,0
32,0,22,0,0,1
27,2,23,1,1,0
22,2,24,0,0,0
24,2,9,0,0,1
14,0,25,1,2,0
33,0,19,0,2,0
9,1,10,0,2,0
37,2,30,1,0,1
34,1,27,1,8,0
37,0,17,1,9,0
27,0,24,1,0,0
81,2,9,1,7,0
55,2,13,0,0,1
16,0,7,0,1,0
38,0,16,0,0,1
25,1,15,0,8,1
19,1,8,1,0,0
14,2,19,1,0,0
41,2,5,0,0,0
24,2,4,1,0,1
49,0,12,0,1,0
49,2,13,0,0,0
55,4,10,1,1,0
22,3,9,0,9,0
42,2,11,0,2,1
44,1,6,0,3,1
27,2,13,0,0,0
23,2,25,1,0,1
59,2,8,1,0,1
38,0,20,0,0,0
44,4,6,0,7,0
22,1,11,1,0,1
16,0,10,1,5,1
26,0,26,0,0,0
33,2,13,0,2,0
19,1,20,1,0,1
34,0,18,1,0,0
9,2,6,0,1,1
18,2,26,1,0,1
45,2,11,0,1,1
44,0,3,0,0,1
29,2,10,0,0,0
19,0,11,1,6,1
19,1,5,0,0,0
29,1,18,0,1,1
44,2,11,0,0,0
48,1,18,1,0,0
27,0,0,0,0,0
17,1,29,0,0,1
39,1,7,0,0,0
22,4,19,1,0,0
27,4,21,0,0,1
54,0,7,0,1,1
47,0,5,0,1,0
37,0,6,1,0,0
15,2,9,0,0,0
38,0,6,1,0,1
50,0,19,1,0,1
29,1,13,1,0,1
55,0,16,0,0,0
54,0,3,1,9,0
59,1,24,0,1,1
39,0,7,0,0,0
43,1,11,1,0,0
56,4,4,0,1,0
41,0,6,0,0,1
27,1,19,0,2,1
28,3,20,1,6,0
38,2,20,0,0,1
15,1,16,1,0,0
32,2,27,1,2,0
51,0,15,1,7,0
2,2,14,0,0,0
58,4,9,1,1,0
51,1,5,0,0,1
28,1,16,0,0,0
43,0,10,0,1,0
35,2,16,0,6,0
53,1,7,0,0,0
49,2,24,0,2,0
13,0,30,0,0,0
43,1,10,0,0,1
31,2,24,1,0,1
36,0,25,1,0,1
24,0,30,1,0,0
61,0,11,0,0,1
50,2,22,0,2,0
23,2,8,1,2,0
14,2,18,0,0,0
29,0,20,1,0,0
41,3,21,0,1,1
38,2,7,1,9,0
53,1,24,0,0,0
46,0,13,0,0,0
49,0,8,1,0,1
39,4,16,0,0,1
14,1,24,0,0,0
32,1,28,0,2,1
50,0,21,1,2,1
34,2,0,0,0,0
42,0,6,0,0,0
30,1,4,0,0,0
19,1,5,0,5,0
33,1,12,1,0,1
39,1,11,0,1,0
25,1,5,0,0,0
31,2,25,0,0,1
20,2,18,0,0,0
51,2,23,0,0,0
30,0,12,0,0,0
56,2,13,0,0,0
57,0,10,1,0,0
33,0,13,0,0,1
19,4,18,1,0,0
3,2,15,0,0,1
12,1,24,0,0,0
14,2,25,0,5,0
55,4,14,0,0,1
36,2,8,1,0,0
40,2,26,1,0,1
1,2,21,1,0,1
17,0,19,1,0,0
48,0,21,0,1,0
39,2,4,0,0,1
32,1,4,1,0,1
43,0,6,1,4,0
59,1,6,0,5,0
31,1,13,0,8,0
36,4,6,0,2,0
37,2,24,1,5,1
70,1,17,0,0,0
3,4,12,0,0,0
45,3,4,0,0,0
33,1,17,1,1,0
43,3,5,0,7,0
25,1,21,1,0,0
34,0,23,0,0,0
45,0,16,1,2,0
81,2,6,1,6,0
47,1,22,0,1,0
22,2,10,0,8,1
